epoch,accuracy_test_before,micro_precision_test_before,macro_precision_test_before,micro_recall_test_before,macro_recall_test_before,accuracy_test_after,micro_precision_test_after,macro_precision_test_after,micro_recall_test_after,macro_recall_test_after
0,11.678321678321678,11.678321678321678,7.262891349082437,11.678321678321678,9.24655482819681,78.32167832167832,78.32167832167832,59.27951267153559,78.32167832167832,51.90469130590045
1,17.250324254215304,17.250324254215304,20.83588724736316,17.250324254215304,15.184341681208751,77.95071335927368,77.95071335927368,58.452291697876056,77.95071335927368,62.422460992647345
2,27.214170692431562,27.214170692431562,14.035648442259447,27.214170692431562,18.72165282852254,78.4219001610306,78.4219001610306,65.8388968964992,78.4219001610306,57.44384349097215
3,40.1864573110893,40.1864573110893,17.865382221172844,40.1864573110893,23.18455307102359,82.53189401373896,82.53189401373896,74.03385324122992,82.53189401373896,73.8486585881228
4,45.99447513812155,45.99447513812155,29.054403655052464,45.99447513812155,27.02139760615464,85.22099447513813,85.22099447513813,69.98577189769352,85.22099447513813,72.49160390191763
5,5.2156469408224675,5.2156469408224675,8.728285005224661,5.2156469408224675,8.166375852053601,67.30190571715146,67.30190571715146,55.98047058068016,67.30190571715146,57.524275462736455
6,9.264705882352942,9.264705882352942,12.291466567782356,9.264705882352942,13.797977683885568,79.26470588235294,79.26470588235294,66.08751033831442,79.26470588235294,66.7079346010555
7,58.50267379679145,58.50267379679145,54.54434514206431,58.50267379679145,48.197197002097184,75.29411764705883,75.29411764705883,69.15304666633007,75.29411764705883,69.63908522075492
8,29.520865533230296,29.520865533230296,18.27300609155187,29.520865533230296,20.047990615787228,81.22102009273571,81.22102009273571,68.01560323183728,81.22102009273571,60.03102229691213
9,34.55538221528861,34.55538221528861,43.33263567842577,34.55538221528861,48.20926846001993,81.59126365054603,81.59126365054603,72.17054616083176,81.59126365054603,71.97764916705613
10,40.74505238649593,40.74505238649593,39.78943568609735,40.74505238649593,29.7454758979935,60.06984866123399,60.06984866123399,50.729787175761,60.06984866123399,47.58053256426152
11,51.05088495575221,51.05088495575221,40.67668033180254,51.05088495575221,37.314107650603184,90.9845132743363,90.9845132743363,55.16156819690654,90.9845132743363,48.82445178730313
12,17.024426350851222,17.024426350851222,37.24952691527242,17.024426350851222,28.299662095870453,79.71872686898594,79.71872686898594,71.03412804879869,79.71872686898594,68.4820878931294
13,66.72504378283712,66.72504378283712,57.44265112866312,66.72504378283712,50.146254191009064,81.61120840630473,81.61120840630473,77.55219659153116,81.61120840630473,67.6237363018504
